******************teacher pretrain performance******************
syn_num:60,reduction_rate:0.5,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:20,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.001,alpha:1
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,54.5+4.3
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,50.1+3.3
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,88.1+1.0
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,73.1+1.3
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,36.1+0.0
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,34.9+0.0
****************************************************************
    
******************teacher model performance******************
syn_num:30,reduction_rate:0.25,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:20,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.001,alpha:1000
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,59.0+4.7
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,58.4+2.4
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,90.2+0.7
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.8+1.3
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,36.1+0.4
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,23.8+0.8
****************************************************************
    
******************teacher model performance******************
syn_num:60,reduction_rate:0.5,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:20,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.001,alpha:1000
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,58.3+4.9
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,59.9+1.4
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,89.9+0.6
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.0+1.4
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,36.3+0.4
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,23.9+0.3
****************************************************************
    
******************teacher model performance******************
syn_num:120,reduction_rate:1.0,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:20,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.001,alpha:1000
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,58.2+4.5
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,57.9+2.5
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,90.3+0.8
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.2+1.2
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,36.2+1.8
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,26.8+4.6
****************************************************************
    
******************downstream model performance******************
syn_num:30,reduction_rate:0.25,epoch_u:600,lr_u:0.001,epoch_x:600,lr_x:0.001,epoch_downstream:800,lr_downstream:0.01
adj sum:46.46,adj num:476.00,adj sparsity:52.89
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,58.8+5.1
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,60.0+3.8
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,91.4+1.1
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,77.8+1.2
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,41.3+2.0
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,36.9+5.1
****************************************************************
    
******************downstream model performance******************
syn_num:60,reduction_rate:0.5,epoch_u:600,lr_u:0.001,epoch_x:600,lr_x:0.001,epoch_downstream:800,lr_downstream:0.01
adj sum:84.43,adj num:1856.00,adj sparsity:51.56
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,58.9+2.9
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,60.3+2.4
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,91.4+0.4
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,76.5+1.1
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,41.6+1.5
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,37.3+3.7
****************************************************************
    
******************downstream model performance******************
syn_num:120,reduction_rate:1.0,epoch_u:600,lr_u:0.001,epoch_x:600,lr_x:0.001,epoch_downstream:800,lr_downstream:0.01
adj sum:164.69,adj num:7184.00,adj sparsity:49.89
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,59.6+4.2
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,62.8+3.9
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,91.3+0.5
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,77.0+1.0
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,41.6+2.9
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,36.6+3.6
****************************************************************
    
