******************teacher pretrain performance******************
syn_num:454,reduction_rate:0.005,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:50,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.1,alpha:1
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,45.5+0.5
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,48.3+1.4
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,96.1+0.2
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.2+0.5
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,37.5+0.0
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,15.8+0.0
****************************************************************
    
******************teacher model performance******************
syn_num:90,reduction_rate:0.001,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:50,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.1,alpha:1000
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,45.5+1.8
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,46.7+2.1
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,97.2+0.1
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,76.1+0.3
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,33.2+0.4
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,13.6+0.4
****************************************************************
    
******************teacher model performance******************
syn_num:454,reduction_rate:0.005,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:50,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.1,alpha:1000
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,45.3+3.2
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,48.3+2.1
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,97.2+0.1
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.9+0.8
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,34.1+0.4
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,14.8+0.4
****************************************************************
    
******************teacher model performance******************
syn_num:909,reduction_rate:0.01,epoch_pretrain:200,lr_pretrain:0.001,epoch_ssl:50,iter_num:3,lr_ssl_spa:0.0001,lr_ssl_spe:0.1,alpha:1000
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,45.5+1.2
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,48.3+2.1
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,97.3+0.3
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,76.1+0.6
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,34.3+0.5
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,14.6+0.4
****************************************************************
    
******************downstream model performance******************
syn_num:90,reduction_rate:0.001,epoch_u:600,lr_u:0.001,epoch_x:600,lr_x:0.001,epoch_downstream:600,lr_downstream:0.01
adj sum:125.01,adj num:3290.00,adj sparsity:40.62
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,34.4+1.6
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,46.4+1.1
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,95.6+0.3
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,76.8+0.3
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,35.4+0.4
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,14.4+0.7
****************************************************************
    
******************downstream model performance******************
syn_num:454,reduction_rate:0.005,epoch_u:600,lr_u:0.001,epoch_x:600,lr_x:0.001,epoch_downstream:600,lr_downstream:0.01
adj sum:585.54,adj num:63042.00,adj sparsity:30.59
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,38.1+3.9
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,45.8+2.6
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,95.3+0.6
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,76.3+0.4
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,36.0+0.5
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,15.2+1.6
****************************************************************
    
******************downstream model performance******************
syn_num:909,reduction_rate:0.01,epoch_u:600,lr_u:0.001,epoch_x:600,lr_x:0.001,epoch_downstream:600,lr_downstream:0.01
adj sum:935.61,adj num:51515.00,adj sparsity:6.23
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,40.5+2.1
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,45.4+3.4
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,93.8+0.7
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.5+0.5
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,36.3+0.3
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,15.7+0.7
****************************************************************
    
