Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,67.0+2.6
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,85.1+0.3
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,73.4+0.8
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,43.3+2.6
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,34.6+1.3
****************************************************************
    
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,67.1+5.3
Link pre AUC,shot:5,test GNN:GCN,lr_lp:0.01,86.2+0.3
Link pre ACC,shot:5,test GNN:GCN,lr_lp:0.01,74.2+0.6
Cluster  NMI,shot:5,test GNN:GCN,cluster:kmeans,45.0+1.7
Cluster  ARI,shot:5,test GNN:GCN,cluster:kmeans,35.9+2.4
****************************************************************
    
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.001,87.5+2.2
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.001,74.3+3.4
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,63.8+5.5
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,54.6+8.5
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,86.0+1.2
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,75.0+1.4
Cluster  NMI,shot:3,test GNN:GCN,cluster:kmeans,41.8+0.0
Cluster  ARI,shot:3,test GNN:GCN,cluster:kmeans,0.0+0.0
****************************************************************
    
Node cla ACC,shot:3,test GNN:GCN,lr_cls:0.01,62.2+3.1
Node cla ACC,shot:5,test GNN:GCN,lr_cls:0.01,64.5+2.4
Link pre AUC,shot:5,test GNN:GCN,lr_lp:0.01,86.8+0.7
Link pre ACC,shot:5,test GNN:GCN,lr_lp:0.01,75.3+2.5
Cluster  NMI,shot:5,test GNN:GCN,cluster:kmeans,41.8+0.0
Cluster  ARI,shot:5,test GNN:GCN,cluster:kmeans,0.0+0.0
****************************************************************
    
Link pre AUC,shot:3,test GNN:GCN,lr_lp:0.01,70.3+3.8
Link pre ACC,shot:3,test GNN:GCN,lr_lp:0.01,63.6+2.7
